execution_time,num_solutions,status,workload,xp,query,run,endpoint,optimization_time,cardinality,cost,epsilon,support,estimator,optimizer,num_walks,max_depth,beam_size,beam_extra,relaxe_stars,optimize_walk_plans
0.7362778186798096,1411,ok,wdbench-ppaths,xp1,P273,2,blazegraph,0.0,,,,,,,,,,,,
1.222606182098389,421,ok,wdbench-ppaths,xp1,P318,1,blazegraph,0.0,,,,,,,,,,,,
1.3406541347503662,421,ok,wdbench-ppaths,xp1,P318,2,blazegraph,0.0,,,,,,,,,,,,
35.30690574645996,345,ok,wdbench-ppaths,xp1,P397,1,blazegraph,0.0,,,,,,,,,,,,
31.73065996170044,330,ok,wdbench-ppaths,xp1,P397,2,blazegraph,0.0,,,,,,,,,,,,
0.7828714847564697,24507,ok,wdbench-ppaths,xp1,P225,1,blazegraph,0.0,,,,,,,,,,,,
0.8125178813934326,24507,ok,wdbench-ppaths,xp1,P225,2,blazegraph,0.0,,,,,,,,,,,,
0.5062029361724854,9,ok,wdbench-ppaths,xp1,P394,1,blazegraph,0.0,,,,,,,,,,,,
0.4668514728546142,9,ok,wdbench-ppaths,xp1,P394,2,blazegraph,0.0,,,,,,,,,,,,
0.3328781127929687,1,ok,wdbench-ppaths,xp1,P344,1,blazegraph,0.0,,,,,,,,,,,,
0.3333170413970947,1,ok,wdbench-ppaths,xp1,P344,2,blazegraph,0.0,,,,,,,,,,,,
0.5141541957855225,15,ok,wdbench-ppaths,xp1,P181,1,blazegraph,0.0,,,,,,,,,,,,
0.5058791637420654,15,ok,wdbench-ppaths,xp1,P181,2,blazegraph,0.0,,,,,,,,,,,,
4.805537462234497,21220,ok,wdbench-ppaths,xp1,P313,1,blazegraph,0.0,,,,,,,,,,,,
3.960935354232788,21220,ok,wdbench-ppaths,xp1,P313,2,blazegraph,0.0,,,,,,,,,,,,
0.2991230487823486,0,ok,wdbench-ppaths,xp1,P228,1,blazegraph,0.0,,,,,,,,,,,,
0.2622525691986084,0,ok,wdbench-ppaths,xp1,P228,2,blazegraph,0.0,,,,,,,,,,,,
291.81756615638733,10,ok,wdbench-ppaths,xp1,P192,1,blazegraph,0.0,,,,,,,,,,,,
307.1415719985962,10,ok,wdbench-ppaths,xp1,P192,2,blazegraph,0.0,,,,,,,,,,,,
4.509194374084473,2765,ok,wdbench-ppaths,xp1,P326,1,blazegraph,0.0,,,,,,,,,,,,
3.3005566596984863,2765,ok,wdbench-ppaths,xp1,P326,2,blazegraph,0.0,,,,,,,,,,,,
0.3340091705322265,1,ok,wdbench-ppaths,xp1,P341,1,blazegraph,0.0,,,,,,,,,,,,
0.3453037738800049,1,ok,wdbench-ppaths,xp1,P341,2,blazegraph,0.0,,,,,,,,,,,,
167.8398187160492,73167,ok,wdbench-ppaths,xp1,P207,1,blazegraph,0.0,,,,,,,,,,,,
164.3492887020111,73167,ok,wdbench-ppaths,xp1,P207,2,blazegraph,0.0,,,,,,,,,,,,
900.1253795623779,0,timeout,wdbench-ppaths,xp1,P331,1,blazegraph,0.0,,,,,,,,,,,,
900.0614187717438,0,timeout,wdbench-ppaths,xp1,P331,2,blazegraph,0.0,,,,,,,,,,,,
0.8520910739898682,4036,ok,wdbench-ppaths,xp1,P263,1,blazegraph,0.0,,,,,,,,,,,,
0.870405912399292,4036,ok,wdbench-ppaths,xp1,P263,2,blazegraph,0.0,,,,,,,,,,,,
0.3297216892242431,1,ok,wdbench-ppaths,xp1,P378,1,blazegraph,0.0,,,,,,,,,,,,
0.3198087215423584,1,ok,wdbench-ppaths,xp1,P378,2,blazegraph,0.0,,,,,,,,,,,,
174.67120361328125,432,ok,wdbench-ppaths,xp1,P200,1,blazegraph,0.0,,,,,,,,,,,,
162.39569282531738,432,ok,wdbench-ppaths,xp1,P200,2,blazegraph,0.0,,,,,,,,,,,,
0.3598453998565674,1,ok,wdbench-ppaths,xp1,P250,1,blazegraph,0.0,,,,,,,,,,,,
0.3388183116912842,1,ok,wdbench-ppaths,xp1,P250,2,blazegraph,0.0,,,,,,,,,,,,
0.3410029411315918,2,ok,wdbench-ppaths,xp1,P327,1,blazegraph,0.0,,,,,,,,,,,,
